BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,Fit15,FitTot
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.89271737018,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.89271737018,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,CLOSEST,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.92501704216,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,WAIT,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,CLOSBUIL,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.92501704216,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,CLOSEST,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0673823247065,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,WAIT,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,CLOSBUIL,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.14236528254640288,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.1072826298199058,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.029435437412846256,13008
