BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,FitTot
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSPERCHP,LESSHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,78.0,100.0,100.0,100.0,0.0,0.0,1078
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSPERCHP,LESSPERCHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,82.0,100.0,100.0,100.0,0.0,0.0,1082
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSPERCHP,CLOSEST,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,77.0,100.0,100.0,100.0,0.0,0.0,1077
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSPERCHP,CLOSESTDIRECT,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,0.0,0.0,1080
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,CLOSEST,LESSHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,65.0,100.0,100.0,100.0,0.0,0.0,1065
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,CLOSEST,LESSPERCHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,82.0,100.0,100.0,100.0,0.0,0.0,1082
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,CLOSEST,CLOSEST,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,71.0,100.0,100.0,100.0,0.0,0.0,1071
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,CLOSEST,CLOSESTDIRECT,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,68.0,100.0,100.0,100.0,0.0,0.0,1068
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,LESSHP,LESSHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,0.0,0.0,1075
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,LESSHP,LESSPERCHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,71.0,100.0,100.0,100.0,0.0,0.0,1071
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,LESSHP,CLOSEST,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,0.0,0.0,1080
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,LESSHP,CLOSESTDIRECT,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,100.0,100.0,100.0,0.0,0.0,1081
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,LESSPERCHP,LESSHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,100.0,100.0,100.0,0.0,0.0,1073
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,LESSPERCHP,LESSPERCHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,74.0,100.0,100.0,100.0,0.0,0.0,1074
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,LESSPERCHP,CLOSEST,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,71.0,100.0,100.0,100.0,0.0,0.0,1071
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,LESSPERCHP,CLOSESTDIRECT,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,64.0,100.0,100.0,100.0,0.0,0.0,1064
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,CLOSEST,LESSHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,78.0,100.0,100.0,100.0,0.0,0.0,1078
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,CLOSEST,LESSPERCHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,100.0,100.0,100.0,0.0,0.0,1087
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,CLOSEST,CLOSEST,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0,100.0,100.0,100.0,0.0,0.0,1076
