BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,FitTot
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,LESSPERCHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1200.0,910.0,910.0,-410.0,380.0,520.0,6750.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,CLOSEST,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1040.0,910.0,910.0,-410.0,380.0,520.0,6590.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,CLOSESTDIRECT,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1130.0,910.0,910.0,-410.0,380.0,520.0,6680.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,WAIT,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1240.0,910.0,910.0,-410.0,380.0,520.0,6790.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,CLOSBUIL,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1150.0,910.0,910.0,-450.0,380.0,520.0,6660.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,LESSHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1030.0,910.0,910.0,-410.0,380.0,520.0,6580.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,LESSPERCHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1120.0,910.0,910.0,-410.0,380.0,520.0,6670.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,CLOSEST,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1060.0,910.0,910.0,-410.0,380.0,520.0,6610.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,CLOSESTDIRECT,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1080.0,910.0,910.0,-410.0,380.0,520.0,6630.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,WAIT,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1100.0,910.0,910.0,-410.0,380.0,520.0,6650.0
